indicator_id,indicator_name,sector,sector_code,climatic_risk,hazard_code,risk_component,component_code,index_raw,attribute,kind
CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),Water Resources,WR,Droughts,DR,Hazard,H,Standardized Precipitation Evapotranspiration Index (SPEI) Present,Duration/Severity/Frequency,Bioclimatic
CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),Water Resources,WR,Droughts,DR,Hazard,H,Standardized Precipitation Evapotranspiration Index (SPEI) 2030,Duration/Severity/Frequency,Bioclimatic
CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),Water Resources,WR,Droughts,DR,Hazard,H,Standardized Precipitation Evapotranspiration Index (SPEI) 2050,Duration/Severity/Frequency,Bioclimatic
CCRA-024,Maximum Consecutive Dry Days (CDD),Water Resources,WR,Droughts,DR,Hazard,H,Maximum Consecutive Dry Days (CDD) Present,Duration,Climatic
CCRA-024,Maximum Consecutive Dry Days (CDD),Water Resources,WR,Droughts,DR,Hazard,H,Maximum Consecutive Dry Days (CDD) 2030,Duration,Climatic
CCRA-024,Maximum Consecutive Dry Days (CDD),Water Resources,WR,Droughts,DR,Hazard,H,Maximum Consecutive Dry Days (CDD) 2050,Duration,Climatic
CCRA-019,Inadequate water access,Water Resources,WR,Droughts,DR,Vulnerability,V,Inadequate water access,Adaptive capacity,Socioeconomic
CCRA-020,Income,Water Resources,WR,Droughts,DR,Vulnerability,V,Income,Sensitivity,Socioeconomic
CCRA-041,Water security index,Water Resources,WR,Droughts,DR,Vulnerability,V,Water security index,Sensitivity,Socioeconomic
CCRA-028,Population density,Water Resources,WR,Droughts,DR,Exposure,E,Population density,People exposure,Demographic
CCRA-015,Health and basic services access,Water Resources,WR,Droughts,DR,Exposure,E,Health and basic services access,People exposure,Socioeconomic
CCRA-023,Landslide Threat Index,Hydrogeological Disasters,HD,Landslides,LS,Hazard,H,Landslide Threat Index Present,Susceptibility,Bioclimatic
CCRA-023,Landslide Threat Index,Hydrogeological Disasters,HD,Landslides,LS,Hazard,H,Landslide Threat Index 2030,Susceptibility,Bioclimatic
CCRA-023,Landslide Threat Index,Hydrogeological Disasters,HD,Landslides,LS,Hazard,H,Landslide Threat Index 2050,Susceptibility,Bioclimatic
CCRA-020,Income,Hydrogeological Disasters,HD,Landslides,LS,Vulnerability,V,Income,Sensitivity,Socioeconomic
CCRA-001,Age Distribution,Hydrogeological Disasters,HD,Landslides,LS,Vulnerability,V,Age Distribution,Sensitivity,Socioeconomic
CCRA-027,Natural vegetation cover,Hydrogeological Disasters,HD,Landslides,LS,Vulnerability,V,Natural vegetation cover,Exposure,Physical
CCRA-028,Population density,Hydrogeological Disasters,HD,Landslides,LS,Exposure,E,Population density,People exposure,Demographic
